service_id,date,exception_type
15,20170823,1
16,20170824,1
14,20170825,1
12,20170826,1
13,20170827,1
15,20170828,1
15,20170829,1
15,20170830,1
16,20170831,1
14,20170901,1
12,20170902,1
13,20170903,1
18,20170904,1
15,20170905,1
15,20170906,1
16,20170907,1
14,20170908,1
12,20170909,1
13,20170910,1
15,20170911,1
15,20170912,1
15,20170913,1
16,20170914,1
14,20170915,1
12,20170916,1
13,20170917,1
15,20170918,1
15,20170919,1
15,20170920,1
16,20170921,1
14,20170922,1
12,20170923,1
13,20170924,1
15,20170925,1
15,20170926,1
15,20170927,1
16,20170928,1
14,20170929,1
12,20170930,1
13,20171001,1
15,20171002,1
15,20171003,1
15,20171004,1
16,20171005,1
14,20171006,1
12,20171007,1
13,20171008,1
15,20171009,1
15,20171010,1
15,20171011,1
16,20171012,1
14,20171013,1
12,20171014,1
13,20171015,1
15,20171016,1
15,20171017,1
15,20171018,1
16,20171019,1
14,20171020,1
12,20171021,1
13,20171022,1
15,20171023,1
15,20171024,1
15,20171025,1
16,20171026,1
14,20171027,1
12,20171028,1
13,20171029,1
15,20171030,1
15,20171031,1
15,20171101,1
16,20171102,1
14,20171103,1
12,20171104,1
13,20171105,1
15,20171106,1
15,20171107,1
15,20171108,1
16,20171109,1
14,20171110,1
12,20171111,1
13,20171112,1
15,20171113,1
15,20171114,1
15,20171115,1
16,20171116,1
14,20171117,1
12,20171118,1
13,20171119,1
15,20171120,1
15,20171121,1
15,20171122,1
19,20171124,1
12,20171125,1
13,20171126,1
15,20171127,1
15,20171128,1
15,20171129,1
16,20171130,1
14,20171201,1
12,20171202,1
13,20171203,1
15,20171204,1
15,20171205,1
15,20171206,1
16,20171207,1
14,20171208,1
12,20171209,1
13,20171210,1
15,20171211,1
15,20171212,1
15,20171213,1
16,20171214,1
14,20171215,1
12,20171216,1
13,20171217,1
15,20171218,1
15,20171219,1
15,20171220,1
16,20171221,1
14,20171222,1
12,20171223,1
13,20171224,1
