shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_shp,42.4404600,-76.4965000,1,0.0000000
1_shp,42.4404400,-76.4968400,2,92.0677440
1_shp,42.4413700,-76.4969000,3,431.3853460
1_shp,42.4425700,-76.4969700,4,869.1235550
1_shp,42.4425700,-76.4969700,5,869.1235550
1_shp,42.4426700,-76.4969800,6,905.6675690
1_shp,42.4427100,-76.4958100,7,1221.8195230
1_shp,42.4427400,-76.4945500,8,1562.1042230
1_shp,42.4430300,-76.4945400,9,1667.8268380
1_shp,42.4431200,-76.4945200,10,1701.0679140
1_shp,42.4431200,-76.4945200,11,1701.0679140
1_shp,42.4432300,-76.4945000,12,1741.5183860
1_shp,42.4433000,-76.4944700,13,1768.2836920
1_shp,42.4433700,-76.4944300,14,1795.9853730
1_shp,42.4434600,-76.4943400,15,1836.8018700
1_shp,42.4438200,-76.4940700,16,1986.8839050
1_shp,42.4444500,-76.4941000,17,2216.6251050
1_shp,42.4447100,-76.4935300,18,2397.3172210
1_shp,42.4449500,-76.4933800,19,2493.6996840
1_shp,42.4471400,-76.4930700,20,3296.2019150
1_shp,42.4471400,-76.4930700,21,3296.2019150
1_shp,42.4492100,-76.4924900,22,4066.6684360
1_shp,42.4496100,-76.4921500,23,4238.9236370
1_shp,42.4496100,-76.4921500,24,4238.9236370
1_shp,42.4497000,-76.4920700,25,4278.1923940
1_shp,42.4495000,-76.4916900,26,4404.0159120
1_shp,42.4493100,-76.4910000,27,4602.7028380
1_shp,42.4492800,-76.4887900,28,5199.2811140
1_shp,42.4492800,-76.4887900,29,5199.2811140
1_shp,42.4493300,-76.4882800,30,5338.1307750
1_shp,42.4494400,-76.4879800,31,5428.4812160
1_shp,42.4497500,-76.4875300,32,5594.3575580
1_shp,42.4499600,-76.4873000,33,5692.9007310
1_shp,42.4501100,-76.4872100,34,5752.7208550
1_shp,42.4508500,-76.4868400,35,6040.3029940
1_shp,42.4511300,-76.4866700,36,6152.1872310
1_shp,42.4512400,-76.4865100,37,6211.1095630
1_shp,42.4512900,-76.4863500,38,6257.9793930
1_shp,42.4513600,-76.4836900,39,6976.3422300
1_shp,42.4513600,-76.4836900,40,6976.3422300
1_shp,42.4513000,-76.4820800,41,7411.4163430
1_shp,42.4511900,-76.4823200,42,7487.5921810
1_shp,42.4509600,-76.4826900,43,7617.9689820
1_shp,42.4506200,-76.4829000,44,7754.2265980
1_shp,42.4498500,-76.4828700,45,8034.9640090
1_shp,42.4498500,-76.4828700,46,8034.9640090
1_shp,42.4453000,-76.4826200,47,9694.5483430
1_shp,42.4453000,-76.4826200,48,9694.5483430
1_shp,42.4451500,-76.4826100,49,9749.2812460
1_shp,42.4451300,-76.4832700,50,9927.5757940
1_shp,42.4451500,-76.4850200,51,10399.9875160
1_shp,42.4450800,-76.4850200,52,10425.4984590
1_shp,42.4447500,-76.4850300,53,10545.7946140
1_shp,42.4447500,-76.4850300,54,10545.7946140
1_shp,42.4442200,-76.4851000,55,10739.8708040
1_shp,42.4435000,-76.4853400,56,11010.1474480
1_shp,42.4428500,-76.4852100,57,11249.6195780
1_shp,42.4426400,-76.4853100,58,11330.7730050
1_shp,42.4425400,-76.4852700,59,11368.7829640
1_shp,42.4425400,-76.4852700,60,11368.7829640
1_shp,42.4377800,-76.4850700,61,13104.3654640
1_shp,42.4377800,-76.4850700,62,13104.3654640
1_shp,42.4376300,-76.4850400,63,13159.6283150
1_shp,42.4374300,-76.4856500,64,13339.7082080
1_shp,42.4374300,-76.4858500,65,13393.6983110
1_shp,42.4375400,-76.4865300,66,13581.5909400
1_shp,42.4391700,-76.4893600,67,14549.3207420
1_shp,42.4393000,-76.4897900,68,14674.6926520
1_shp,42.4392800,-76.4921000,69,15298.3025020
1_shp,42.4394200,-76.4935500,70,15693.0301890
1_shp,42.4395200,-76.4937700,71,15762.7081300
1_shp,42.4401600,-76.4944600,72,16061.1950860
1_shp,42.4404500,-76.4950300,73,16247.8614720
1_shp,42.4405200,-76.4954400,74,16361.4379480
1_shp,42.4404600,-76.4965000,75,16648.4058820
1091_shp,42.4404600,-76.4965000,19677,0.0000000
1091_shp,42.4404400,-76.4968400,19678,92.0677440
1091_shp,42.4403700,-76.4990500,19679,689.1753800
1091_shp,42.4402900,-76.5017600,19680,1421.2883130
1091_shp,42.4398800,-76.5017800,19681,1570.8069190
1091_shp,42.4398800,-76.5017800,19682,1570.8069190
1091_shp,42.4385800,-76.5017200,19683,2044.8578540
1091_shp,42.4386700,-76.4977200,19684,3125.1374560
1091_shp,42.4386700,-76.4976600,19685,3141.3341680
1091_shp,42.4386700,-76.4976600,19686,3141.3341680
1091_shp,42.4387200,-76.4961700,19687,3543.9649020
1091_shp,42.4388400,-76.4952300,19688,3801.4540130
1091_shp,42.4391800,-76.4943800,19689,4062.2259990
1091_shp,42.4394900,-76.4942500,19690,4180.5275970
1091_shp,42.4396100,-76.4952500,19691,4453.9886430
1091_shp,42.4396500,-76.4956400,19692,4560.2701520
1091_shp,42.4393900,-76.4955600,19693,4657.4547050
1091_shp,42.4392500,-76.4954800,19694,4712.8585720
1091_shp,42.4392500,-76.4954800,19695,4712.8585720
1091_shp,42.4392500,-76.4954800,19696,4712.8585720
1091_shp,42.4383800,-76.4949100,19697,5065.2861680
1091_shp,42.4383700,-76.4946800,19698,5127.4807220
1091_shp,42.4381100,-76.4933500,19699,5498.8036300
1091_shp,42.4379600,-76.4930000,19700,5607.9604110
1091_shp,42.4367300,-76.4922500,19701,6099.8253720
1091_shp,42.4357900,-76.4923200,19702,6442.9211530
1091_shp,42.4357900,-76.4923200,19703,6442.9211530
1091_shp,42.4350900,-76.4921800,19704,6700.8145560
1091_shp,42.4337500,-76.4916900,19705,7206.7648100
1091_shp,42.4337500,-76.4916900,19706,7206.7648100
1091_shp,42.4328900,-76.4915800,19707,7521.5880470
1091_shp,42.4309100,-76.4924100,19708,8277.1729310
1091_shp,42.4309100,-76.4924100,19709,8277.1729310
1091_shp,42.4305800,-76.4924500,19710,8397.9223800
1091_shp,42.4303500,-76.4923600,19711,8485.1946010
1091_shp,42.4293800,-76.4914300,19712,8918.7970150
1091_shp,42.4293800,-76.4914300,19713,8918.7970150
1091_shp,42.4291500,-76.4912000,19714,9023.1139880
1091_shp,42.4268400,-76.4889200,19715,10066.0253030
1091_shp,42.4268400,-76.4889200,19716,10066.0253030
1091_shp,42.4266400,-76.4887200,19717,10156.7369790
1091_shp,42.4265500,-76.4886400,19718,10196.0099790
1091_shp,42.4262100,-76.4892300,19719,10397.8261400
1091_shp,42.4261700,-76.4893200,19720,10426.1632520
1091_shp,42.4263200,-76.4897700,19721,10559.3941540
1091_shp,42.4264200,-76.4906600,19722,10802.4402370
1091_shp,42.4263100,-76.4913500,19723,10993.0032560
1091_shp,42.4261900,-76.4915400,19724,11060.4141400
1091_shp,42.4260100,-76.4916300,19725,11130.3695600
1091_shp,42.4253700,-76.4916600,19726,11363.7522800
1091_shp,42.4251200,-76.4920000,19727,11493.0909160
1091_shp,42.4251200,-76.4920000,19728,11493.0909160
1091_shp,42.4250400,-76.4922400,19729,11564.1484890
1091_shp,42.4247400,-76.4936000,19730,11947.2851530
1091_shp,42.4247100,-76.4938700,19731,12021.0017980
1091_shp,42.4246700,-76.4940800,19732,12079.5468310
1091_shp,42.4245700,-76.4944300,19733,12180.8324850
1091_shp,42.4245300,-76.4945700,19734,12221.3467860
1091_shp,42.4244000,-76.4950800,19735,12366.9722060
1091_shp,42.4243300,-76.4953600,19736,12446.7621940
1091_shp,42.4243300,-76.4953600,19737,12446.7621940
1091_shp,42.4241100,-76.4961400,19738,12672.1131930
1091_shp,42.4238700,-76.4963400,19739,12774.9063700
1091_shp,42.4239300,-76.4965000,19740,12823.3264060
1091_shp,42.4239600,-76.4966400,19741,12862.6769340
1091_shp,42.4240500,-76.4970500,19742,12978.1370830
1091_shp,42.4241000,-76.4973900,19743,13071.7307330
1091_shp,42.4239800,-76.4974300,19744,13116.7775090
1091_shp,42.4231200,-76.4976600,19745,13436.2898720
1091_shp,42.4228200,-76.4978700,19746,13559.4512170
1091_shp,42.4225500,-76.4983100,19747,13713.7147530
1091_shp,42.4222800,-76.4992200,19748,13978.3985870
1091_shp,42.4217300,-76.4996500,19749,14210.0405510
1091_shp,42.4217300,-76.4996500,19750,14210.0405510
1091_shp,42.4216600,-76.4996700,19751,14236.1167230
1091_shp,42.4216500,-76.4997200,19752,14250.1008670
1091_shp,42.4214600,-76.4998000,19753,14322.6357880
1091_shp,42.4213700,-76.4996200,19754,14381.2712170
1091_shp,42.4212500,-76.4997000,19755,14430.0481720
1091_shp,42.4207400,-76.4998400,19756,14619.7182370
1091_shp,42.4203000,-76.4998200,19757,14780.1629580
1091_shp,42.4198900,-76.4995300,19758,14948.8595250
1091_shp,42.4196300,-76.4990100,19759,15118.2538110
1091_shp,42.4196300,-76.4990100,19760,15118.2538110
1091_shp,42.4195500,-76.4987600,19761,15191.7874190
1091_shp,42.4194600,-76.4986600,19762,15234.2722910
1091_shp,42.4193400,-76.4981800,19763,15371.0648060
1091_shp,42.4195600,-76.4973900,19764,15598.9563390
1091_shp,42.4196400,-76.4965900,19765,15816.9365450
1091_shp,42.4196400,-76.4965900,19766,15816.9365450
1091_shp,42.4197000,-76.4959100,19767,16001.8521350
1091_shp,42.4199900,-76.4949300,19768,16286.8021830
1091_shp,42.4201600,-76.4939500,19769,16558.5824790
1091_shp,42.4201600,-76.4930300,19770,16807.0051380
1091_shp,42.4200600,-76.4921700,19771,17042.0688120
1091_shp,42.4201800,-76.4921200,19772,17087.8382990
1091_shp,42.4202400,-76.4921800,19773,17115.0527820
1091_shp,42.4203000,-76.4924600,19774,17193.7580770
1091_shp,42.4203900,-76.4934600,19775,17465.7666940
1091_shp,42.4203200,-76.4944100,19776,17723.5546850
1091_shp,42.4203200,-76.4944100,19777,17723.5546850
1091_shp,42.4200600,-76.4955400,19778,18043.0563640
1091_shp,42.4198200,-76.4956300,19779,18133.8354990
1091_shp,42.4197000,-76.4959100,19780,18221.1798610
1091_shp,42.4196400,-76.4965900,19781,18406.0954520
1091_shp,42.4196400,-76.4965900,19782,18406.0954520
1091_shp,42.4196300,-76.4969800,19783,18511.4689760
1091_shp,42.4195600,-76.4973900,19784,18625.0812480
1091_shp,42.4195100,-76.4973800,19785,18643.5022550
1091_shp,42.4193000,-76.4974500,19786,18722.3343860
1091_shp,42.4184500,-76.4981100,19787,19079.7171710
1091_shp,42.4175800,-76.4991500,19788,19503.2704650
1091_shp,42.4170400,-76.4999700,19789,19799.5147830
1091_shp,42.4160100,-76.5009700,19790,20261.9290240
1091_shp,42.4158100,-76.5010500,19791,20337.9512180
1091_shp,42.4148500,-76.5011400,19792,20688.6569090
1091_shp,42.4144000,-76.5010500,19793,20854.4461120
1091_shp,42.4141700,-76.5008500,19794,20954.1610710
