trip_id,stop_id,arrival_time,departure_time,stop_sequence,timepoint
t10-sl14-p131-r1E,1,09:12:00,09:12:00,0,1
t10-sl14-p131-r1E,243,,,59,0
t10-sl14-p131-r1E,113,,,111,0
t10-sl14-p131-r1E,441,,,230,0
t10-sl14-p131-r1E,442,,,301,0
t10-sl14-p131-r1E,177,,,373,0
t10-sl14-p131-r1E,133,,,494,0
t10-sl14-p131-r1E,170,09:21:00,09:21:00,540,1
t10-sl14-p131-r1E,4,,,661,0
t10-sl14-p131-r1E,290,,,712,0
t10-sl14-p131-r1E,344,,,772,0
t10-sl14-p131-r1E,109,,,901,0
t10-sl14-p131-r1E,1,09:31:00,09:31:00,1140,1
t10-sl15-p131-r1E,1,09:12:00,09:12:00,0,1
t10-sl15-p131-r1E,243,,,59,0
t10-sl15-p131-r1E,113,,,111,0
t10-sl15-p131-r1E,441,,,230,0
t10-sl15-p131-r1E,442,,,301,0
t10-sl15-p131-r1E,177,,,373,0
t10-sl15-p131-r1E,133,,,494,0
t10-sl15-p131-r1E,170,09:21:00,09:21:00,540,1
t10-sl15-p131-r1E,4,,,661,0
t10-sl15-p131-r1E,290,,,712,0
t10-sl15-p131-r1E,344,,,772,0
t10-sl15-p131-r1E,109,,,901,0
t10-sl15-p131-r1E,1,09:31:00,09:31:00,1140,1
t10-sl16-p131-r1E,1,09:12:00,09:12:00,0,1
t10-sl16-p131-r1E,243,,,59,0
t10-sl16-p131-r1E,113,,,111,0
t10-sl16-p131-r1E,441,,,230,0
t10-sl16-p131-r1E,442,,,301,0
t10-sl16-p131-r1E,177,,,373,0
t10-sl16-p131-r1E,133,,,494,0
t10-sl16-p131-r1E,170,09:21:00,09:21:00,540,1
t10-sl16-p131-r1E,4,,,661,0
t10-sl16-p131-r1E,290,,,712,0
t10-sl16-p131-r1E,344,,,772,0
t10-sl16-p131-r1E,109,,,901,0
t10-sl16-p131-r1E,1,09:31:00,09:31:00,1140,1
t102-sl12-p1CA-r8,1,17:38:00,17:38:00,0,1
t102-sl12-p1CA-r8,294,,,87,0
t102-sl12-p1CA-r8,293,,,228,0
t102-sl12-p1CA-r8,500,,,392,0
t102-sl12-p1CA-r8,499,,,556,0
t102-sl12-p1CA-r8,498,,,622,0
t102-sl12-p1CA-r8,337,17:50:00,17:50:00,720,1
t102-sl13-p42-r6,1,17:38:00,17:38:00,0,1
t102-sl13-p42-r6,294,,,87,0
t102-sl13-p42-r6,293,,,228,0
t102-sl13-p42-r6,500,,,392,0
t102-sl13-p42-r6,499,,,556,0
t102-sl13-p42-r6,498,,,622,0
t102-sl13-p42-r6,337,17:50:00,17:50:00,720,1
t102-sl18-p42-r6,1,17:38:00,17:38:00,0,1
t102-sl18-p42-r6,294,,,87,0
t102-sl18-p42-r6,293,,,228,0
t102-sl18-p42-r6,500,,,392,0
t102-sl18-p42-r6,499,,,556,0
t102-sl18-p42-r6,498,,,622,0
t102-sl18-p42-r6,337,17:50:00,17:50:00,720,1
t106-sl14-p34-r34,2,18:13:00,18:13:00,0,1
t106-sl14-p34-r34,1,18:15:00,18:15:00,120,1
t106-sl14-p34-r34,294,,,207,0
t106-sl14-p34-r34,293,,,348,0
t106-sl14-p34-r34,500,,,512,0
t106-sl14-p34-r34,499,,,676,0
t106-sl14-p34-r34,498,,,742,0
t106-sl14-p34-r34,337,18:27:00,18:27:00,840,1
t106-sl15-p34-r34,2,18:13:00,18:13:00,0,1
t106-sl15-p34-r34,1,18:15:00,18:15:00,120,1
t106-sl15-p34-r34,294,,,207,0
t106-sl15-p34-r34,293,,,348,0
t106-sl15-p34-r34,500,,,512,0
t106-sl15-p34-r34,499,,,676,0
t106-sl15-p34-r34,498,,,742,0
t106-sl15-p34-r34,337,18:27:00,18:27:00,840,1
t106-sl16-p34-r34,2,18:13:00,18:13:00,0,1
t106-sl16-p34-r34,1,18:15:00,18:15:00,120,1
t106-sl16-p34-r34,294,,,207,0
t106-sl16-p34-r34,293,,,348,0
t106-sl16-p34-r34,500,,,512,0
t106-sl16-p34-r34,499,,,676,0
t106-sl16-p34-r34,498,,,742,0
t106-sl16-p34-r34,337,18:27:00,18:27:00,840,1
t107-sl13-p42-rA,1,18:18:00,18:18:00,0,1
t107-sl13-p42-rA,294,,,87,0
t107-sl13-p42-rA,293,,,228,0
t107-sl13-p42-rA,500,,,392,0
t107-sl13-p42-rA,499,,,556,0
t107-sl13-p42-rA,498,,,622,0
t107-sl13-p42-rA,337,18:30:00,18:30:00,720,1
t107-sl18-p42-rA,1,18:18:00,18:18:00,0,1
t107-sl18-p42-rA,294,,,87,0
t107-sl18-p42-rA,293,,,228,0
t107-sl18-p42-rA,500,,,392,0
t107-sl18-p42-rA,499,,,556,0
t107-sl18-p42-rA,498,,,622,0
t107-sl18-p42-rA,337,18:30:00,18:30:00,720,1
t108-sl14-p34-r36,2,18:25:00,18:25:00,0,1
t108-sl14-p34-r36,1,18:27:00,18:27:00,120,1
t108-sl14-p34-r36,294,,,207,0
t108-sl14-p34-r36,293,,,348,0
t108-sl14-p34-r36,500,,,512,0
t108-sl14-p34-r36,499,,,676,0
t108-sl14-p34-r36,498,,,742,0
t108-sl14-p34-r36,337,18:39:00,18:39:00,840,1
t108-sl15-p34-r36,2,18:25:00,18:25:00,0,1
t108-sl15-p34-r36,1,18:27:00,18:27:00,120,1
t108-sl15-p34-r36,294,,,207,0
t108-sl15-p34-r36,293,,,348,0
t108-sl15-p34-r36,500,,,512,0
t108-sl15-p34-r36,499,,,676,0
t108-sl15-p34-r36,498,,,742,0
